Country,Real coffee,Instant coffee,Sweetener,Biscuits,Tin soup,Potatoes,Apples,Oranges,Tinned fruit,Garlic,Olive oil
Germany,90,49,19,57,19,21,81,75,44,22,74
Italy,82,10,2,55,3,2,67,71,9,80,94
France,88,42,4,76,11,23,87,84,40,88,36
Holland,96,62,32,,43,7,83,89,61,,13
Belgium,94,38,11,,23,9,76,76,42,,83
Luxembourg,97,61,28,,12,7,85,94,83,91,84
England,27,86,22,91,76,17,76,68,89,11,57
Portugal,72,26,2,22,1,17,,51,8,54,57
Austria,55,31,8,29,12,17,,42,14,51,57
Switzerland,73,72,25,31,12,11,,70,46,64,57
Sweden,97,13,31,9,43,11,,78,53,9,48
Denmark,96,17,35,66,17,11,81,72,50,11,30
Norway,92,17,13,62,4,17,61,72,34,11,28
Finland,98,12,20,64,10,8,50,57,22,15,17
Spain,70,40,3,62,2,14,59,77,30,80,91
Ireland,30,52,11,80,18,2,57,52,46,5,31
